#,Traffic (desc),Traffic (Percent %),# of Keywords,Referring Domains,URL,Top Keyword,Its Volume,Position,Page URL inside,Traffic value
57,15209,0.29,2041,740,https://www.gsmarena.com/samsung_galaxy_s5-6033.php,samsung galaxy s5,20000,1,,22462
58,14328,0.28,167,530,https://www.gsmarena.com/apple_iphone_12_pro_max-10237.php,iphone 12 pro max,834000,11,,18
59,13667,0.26,37,244,https://www.gsmarena.com/samsung_galaxy_s10_lite-9917.php,s10 lite,23000,1,,89
60,13597,0.26,321,442,https://www.gsmarena.com/apple_iphone_12-10509.php,iphone 12,2420000,16,,84181
61,13539,0.26,23,374,https://www.gsmarena.com/xiaomi_redmi_note_8-9814.php,redmi note 8,27000,1,,79
62,13385,0.26,462,175,https://www.gsmarena.com/motorola_moto_x4-8634.php,moto x4,19000,1,,6827
63,13092,0.25,181,407,https://www.gsmarena.com/samsung_galaxy_s20-10081.php,galaxy s20,165000,7,,419
64,12951,0.25,94,615,https://www.gsmarena.com/samsung_galaxy_a51-9963.php,samsung a51,59000,4,,27
65,12827,0.25,662,513,https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php,iphone se 2020,166000,11,,31576
66,12755,0.25,731,374,https://www.gsmarena.com/lg_g6-8466.php,lg g6,45000,1,,27303
67,12751,0.25,136,259,https://www.gsmarena.com/samsung_galaxy_a10-9580.php,samsung a10,41000,1,,45046
68,12731,0.25,761,281,https://www.gsmarena.com/samsung_galaxy_j7-7185.php,samsung galaxy j7,35000,1,,16777
69,12365,0.24,388,318,https://www.gsmarena.com/google_pixel_5-10386.php,pixel 5,385000,8,,5138
70,12218,0.24,1025,262,https://www.gsmarena.com/huawei_nexus_6p-7588.php,nexus 6p,16000,1,,10436
71,11820,0.23,17,226,https://www.gsmarena.com/samsung_galaxy_note10_lite-10003.php,note 10 lite,64000,1,,1
72,11785,0.23,195,330,https://www.gsmarena.com/samsung_galaxy_note20_ultra_5g-10261.php,note 20 ultra,84000,8,,4
73,11723,0.23,2609,730,https://www.gsmarena.com/apple_iphone_7_plus-8065.php,iphone 7 plus,133000,4,,41276
